SPECIES_CODE,PRIMARY_COM_NAME,ABA_BIRDING_CODE
thbvir,Thick-billed Vireo,4
yucvir,Yucatan Vireo,5
eurjac,Eurasian Jackdaw,4
cubmar,Cuban Martin,5
gybmar,Gray-breasted Martin,5
soumar,Southern Martin,5
brcmar1,Brown-chested Martin,5
wlwwar,Willow Warbler,4
palwar5,Pallas's Leaf Warbler,5
mugfly,Mugimaki Flycatcher,5
brbsol1,Brown-backed Solitaire,5
relthr1,Red-legged Thrush,5
grathr1,Gray Thrasher,5
sibacc,Siberian Accentor,4
citwag,Citrine Wagtail,5
grywag,Gray Wagtail,4
grsfly1,Gray Silky-flycatcher,5
bacwar,Bachman's Warbler,6
tropar,Tropical Parula,3
fatwar,Fan-tailed Warbler,4
banana,Bananaquit,4
yefgra1,Yellow-faced Grassquit,4
pinbun,Pine Bunting,5
flctan,Flame-colored Tanager,3
yelgro,Yellow Grosbeak,4
tasbla,Tawny-shouldered Blackbird,5
shicow,Shiny Cowbird,3
stbori,Streak-backed Oriole,4
blbori1,Black-backed Oriole,5
comcha,Common Chaffinch,4
brambl,Brambling,3
asrfin1,Asian Rosy-Finch,5
origre,Oriental Greenfinch,4
trimun,Tricolored Munia,5
crahaw,Crane Hawk,5
lasfly,La Sagra's Flycatcher,3
rnwrai1,Rufous-necked Wood-Rail,5
cubpew1,Cuban Pewee,5
integr,Intermediate Egret,5
wesspi,Western Spindalis,3
strspa1,Striped Sparrow,5
amakin1,Amazon Kingfisher,5
litshe1,Barolo Shearwater,4
lesfri,Lesser Frigatebird,5
litsti,Little Stint,4
norjac,Northern Jacana,4
refblu,Red-flanked Bluetail,4
rotbec,Rose-throated Becard,3
whcsee,White-collared Seedeater,3
bahmoc,Bahama Mockingbird,4
bkbalb,Black-browed Albatross,5
calcon,California Condor,6
carpar,Carolina Parakeet,6
chiegr,Chinese Egret,5
dstkne,Double-striped Thick-knee,5
asbfly,Asian Brown Flycatcher,5
solsni1,Solitary Snipe,5
strshe,Streaked Shearwater,4
cursan,Curlew Sandpiper,3
crcwar,Crescent-chested Warbler,4
grsplo,Greater Sand-Plover,5
whcalb1,White-capped Albatross,4
whttro,White-tailed Tropicbird,3
comred1,Common Redshank,5
pirfly1,Piratic Flycatcher,4
skylar,Eurasian Skylark,3
comchi1,Common Chiffchaff,5
bhnthr1,Black-headed Nightingale-Thrush,5
eurbla,Eurasian Blackbird,5
gcrwar,Golden-crowned Warbler,4
eurbul,Eurasian Bullfinch,4
logkin,Loggerhead Kingbird,5
migwar,Middendorff's Grasshopper-Warbler,4
refboo,Red-footed Booby,4
sibrub,Siberian Rubythroat,3
tersan,Terek Sandpiper,3
tufduc,Tufted Duck,3
bkcgna,Black-capped Gnatcatcher,3
bumhum,Bumblebee Hummingbird,5
relhon1,Red-legged Honeycreeper,5
comros,Common Rosefinch,4
gnbman,Green-breasted Mango,4
whoswa,Whooper Swan,3
grwpet1,Great-winged/Gray-faced Petrel,5
palros2,Pallas's Rosefinch,5
coffal1,Collared Forest-Falcon,5
salalb1,Salvin's Albatross,5
taifly1,Taiga Flycatcher,4
grefla2,American Flamingo,3
dusthr2,Dusky Thrush,4
croslf1,Crowned Slaty Flycatcher,5
cubvir1,Cuban Vireo,5
yebbun1,Yellow-browed Bunting,5
lwfgoo,Lesser White-fronted Goose,5
bkwsti,Black-winged Stilt,5
faecur,Far Eastern Curlew,4
eutdov,European Turtle-Dove,5
whcswi,White-collared Swift,4
berhum,Berylline Hummingbird,3
ivbwoo,Ivory-billed Woodpecker,6
duswar,Dusky Warbler,4
gysfly1,Gray-streaked Flycatcher,4
sibrob,Siberian Blue Robin,5
hobkit,Hook-billed Kite,3
arcwar2,Kamchatka Leaf Warbler,5
grynig1,Gray Nightjar,5
tripet1,Trindade Petrel,3
rutrob1,Rufous-tailed Robin,5
blrwar1,Blyth's Reed-Warbler,5
sedwar1,Sedge Warbler,5
comsan,Common Sandpiper,3
olbpip,Olive-backed Pipit,3
compoc,Common Pochard,3
gnvear,Green Violetear-,3
oricuc2,Oriental Cuckoo,4
grswoo,Great Spotted Woodpecker,4
litegr,Little Egret,4
yebbun,Yellow-breasted Bunting,5
varfly,Variegated Flycatcher,5
stseag,Steller's Sea-Eagle,4
bkvori,Black-vented Oriole,5
yelbit,Yellow Bittern,5
tuffly,Tufted Flycatcher,5
nutfly,Nutting's Flycatcher,5
jufpet,Juan Fernandez Petrel,5
hawpet1,Hawaiian Petrel,3
worspa,Worthen's Sparrow,5
ortdov,Oriental Turtle-Dove,4
bfoboo,Blue-footed Booby,4
bkfgra,Black-faced Grassquit,4
comgre,Common Greenshank,3
eyethr,Eyebrowed Thrush,3
fieldf,Fieldfare,4
rubrob,Rufous-backed Robin,3
sibsto1,Siberian Stonechat,4
scnpig1,Scaly-naped Pigeon,5
bahwoo,Bahama Woodstar,5
eursis,Eurasian Siskin,5
gragoo,Graylag Goose,7
trepip,Tree Pipit,5
